Instruction #,End time,Duration,Display image id,audio id,Operator text, State,Location
185,706.5,0.5,Offset 1,Throw tone,Training 1 trial 17 throw 1,Add ,B17
186,709.5,3,Offset 1,NA,Training 1 trial 17 throw 2,Add ,B17
187,710,0.5,Offset 1,Throw tone,Training 1 trial 17 throw 2,Add ,B17
188,713,3,Offset 1,NA,Training 1 trial 17 throw 3,Add ,B17
189,713.5,0.5,Offset 1,Throw tone,Training 1 trial 17 throw 3,Add ,B17
190,728.5,15,Collect darts,Collect darts,Collecting darts for Training trial 17,Save ,B17
191,731.5,3,Offset 1,NA,Training 1 trial 18 throw 1,Add ,B18
192,732,0.5,Offset 1,Throw tone,Training 1 trial 18 throw 1,Add ,B18
193,735,3,Offset 1,NA,Training 1 trial 18 throw 2,Add ,B18
194,735.5,0.5,Offset 1,Throw tone,Training 1 trial 18 throw 2,Add ,B18
195,738.5,3,Offset 1,NA,Training 1 trial 18 throw 3,Add ,B18
196,739,0.5,Offset 1,Throw tone,Training 1 trial 18 throw 3,Add ,B18
197,754,15,Collect darts,Collect darts,Collecting darts for Training trial 18,Save ,B18
198,757,3,Offset 1,NA,Training 1 trial 19 throw 1,Add ,B19
199,757.5,0.5,Offset 1,Throw tone,Training 1 trial 19 throw 1,Add ,B19
200,760.5,3,Offset 1,NA,Training 1 trial 19 throw 2,Add ,B19
201,761,0.5,Offset 1,Throw tone,Training 1 trial 19 throw 2,Add ,B19
202,764,3,Offset 1,NA,Training 1 trial 19 throw 3,Add ,B19
203,764.5,0.5,Offset 1,Throw tone,Training 1 trial 19 throw 3,Add ,B19
204,779.5,15,Collect darts,Collect darts,Collecting darts for Training trial 19,Save ,B19
205,782.5,3,Offset 1,NA,Training 1 trial 20 throw 1,Add ,B20
206,783,0.5,Offset 1,Throw tone,Training 1 trial 20 throw 1,Add ,B20
207,786,3,Offset 1,NA,Training 1 trial 20 throw 2,Add ,B20
208,786.5,0.5,Offset 1,Throw tone,Training 1 trial 20 throw 2,Add ,B20
209,789.5,3,Offset 1,NA,Training 1 trial 20 throw 3,Add ,B20
210,790,0.5,Offset 1,Throw tone,Training 1 trial 20 throw 3,Add ,B20
211,805,15,Collect darts,Collect darts,Collecting darts for Training trial 20,Save ,B20
212,825,20,Blank,Instructions 3,Instructions for Training 2,None,None
213,828,3,Offset 2,NA,Training 2 trial 1 throw 1,Add ,C1
214,828.5,0.5,Offset 2,Throw tone,Training 2 trial 1 throw 1,Add ,C1
215,831.5,3,Offset 2,NA,Training 2 trial 1 throw 2,Add ,C1
216,832,0.5,Offset 2,Throw tone,Training 2 trial 1 throw 2,Add ,C1
217,835,3,Offset 2,NA,Training 2 trial 1 throw 3,Add ,C1
218,835.5,0.5,Offset 2,Throw tone,Training 2 trial 1 throw 3,Add ,C1
219,850.5,15,Collect darts,Collect darts,Collecting darts for Training trial 1,Save ,C1
220,853.5,3,Offset 2,NA,Training 2 trial 2 throw 1,Add ,C2
221,854,0.5,Offset 2,Throw tone,Training 2 trial 2 throw 1,Add ,C2
222,857,3,Offset 2,NA,Training 2 trial 2 throw 2,Add ,C2
223,857.5,0.5,Offset 2,Throw tone,Training 2 trial 2 throw 2,Add ,C2
224,860.5,3,Offset 2,NA,Training 2 trial 2 throw 3,Add ,C2
225,861,0.5,Offset 2,Throw tone,Training 2 trial 2 throw 3,Add ,C2
226,876,15,Collect darts,Collect darts,Collecting darts for Training trial 2,Save ,C2
227,879,3,Offset 2,NA,Training 2 trial 3 throw 1,Add ,C3
228,879.5,0.5,Offset 2,Throw tone,Training 2 trial 3 throw 1,Add ,C3
229,882.5,3,Offset 2,NA,Training 2 trial 3 throw 2,Add ,C3
230,883,0.5,Offset 2,Throw tone,Training 2 trial 3 throw 2,Add ,C3
231,886,3,Offset 2,NA,Training 2 trial 3 throw 3,Add ,C3
232,886.5,0.5,Offset 2,Throw tone,Training 2 trial 3 throw 3,Add ,C3
233,901.5,15,Collect darts,Collect darts,Collecting darts for Training trial 3,Save ,C3
234,904.5,3,Offset 2,NA,Training 2 trial 4 throw 1,Add ,C4
235,905,0.5,Offset 2,Throw tone,Training 2 trial 4 throw 1,Add ,C4
236,908,3,Offset 2,NA,Training 2 trial 4 throw 2,Add ,C4
237,908.5,0.5,Offset 2,Throw tone,Training 2 trial 4 throw 2,Add ,C4
238,911.5,3,Offset 2,NA,Training 2 trial 4 throw 3,Add ,C4
239,912,0.5,Offset 2,Throw tone,Training 2 trial 4 throw 3,Add ,C4
240,927,15,Collect darts,Collect darts,Collecting darts for Training trial 4,Save ,C4
241,930,3,Offset 2,NA,Training 2 trial 5 throw 1,Add ,C5
242,930.5,0.5,Offset 2,Throw tone,Training 2 trial 5 throw 1,Add ,C5
243,933.5,3,Offset 2,NA,Training 2 trial 5 throw 2,Add ,C5
244,934,0.5,Offset 2,Throw tone,Training 2 trial 5 throw 2,Add ,C5
245,937,3,Offset 2,NA,Training 2 trial 5 throw 3,Add ,C5
246,937.5,0.5,Offset 2,Throw tone,Training 2 trial 5 throw 3,Add ,C5
247,952.5,15,Collect darts,Collect darts,Collecting darts for Training trial 5,Save ,C5
248,955.5,3,Offset 2,NA,Training 2 trial 6 throw 1,Add ,C6
249,956,0.5,Offset 2,Throw tone,Training 2 trial 6 throw 1,Add ,C6
250,959,3,Offset 2,NA,Training 2 trial 6 throw 2,Add ,C6
251,959.5,0.5,Offset 2,Throw tone,Training 2 trial 6 throw 2,Add ,C6
252,962.5,3,Offset 2,NA,Training 2 trial 6 throw 3,Add ,C6
253,963,0.5,Offset 2,Throw tone,Training 2 trial 6 throw 3,Add ,C6
254,978,15,Collect darts,Collect darts,Collecting darts for Training trial 6,Save ,C6
