Instruction #,End time,Duration,Display image id,audio id,Operator text, State,Location
446,1690,0.5,Offset 3,Throw tone,Training 3 trial 14 throw 1,Add ,D14
447,1693,3,Offset 3,NA,Training 3 trial 14 throw 2,Add ,D14
448,1693.5,0.5,Offset 3,Throw tone,Training 3 trial 14 throw 2,Add ,D14
449,1696.5,3,Offset 3,NA,Training 3 trial 14 throw 3,Add ,D14
450,1697,0.5,Offset 3,Throw tone,Training 3 trial 14 throw 3,Add ,D14
451,1712,15,Collect darts,Collect darts,Collecting darts for Training trial 14,Save ,D14
452,1715,3,Offset 3,NA,Training 3 trial 15 throw 1,Add ,D15
453,1715.5,0.5,Offset 3,Throw tone,Training 3 trial 15 throw 1,Add ,D15
454,1718.5,3,Offset 3,NA,Training 3 trial 15 throw 2,Add ,D15
455,1719,0.5,Offset 3,Throw tone,Training 3 trial 15 throw 2,Add ,D15
456,1722,3,Offset 3,NA,Training 3 trial 15 throw 3,Add ,D15
457,1722.5,0.5,Offset 3,Throw tone,Training 3 trial 15 throw 3,Add ,D15
458,1737.5,15,Collect darts,Collect darts,Collecting darts for Training trial 15,Save ,D15
459,1740.5,3,Offset 3,NA,Training 3 trial 16 throw 1,Add ,D16
460,1741,0.5,Offset 3,Throw tone,Training 3 trial 16 throw 1,Add ,D16
461,1744,3,Offset 3,NA,Training 3 trial 16 throw 2,Add ,D16
462,1744.5,0.5,Offset 3,Throw tone,Training 3 trial 16 throw 2,Add ,D16
463,1747.5,3,Offset 3,NA,Training 3 trial 16 throw 3,Add ,D16
